Employee Name,Department,Attendance %,Projects Completed,Performance Score,Salary
Arjun Pillai,IT,90.7,11,5.2,82100
Simran Sharma,HR,93.4,9,5.6,67500
Dev Patel,Sales,95.5,13,6.2,85400
Neha Malhotra,Operations,91.1,11,4.7,73700
Maya Gupta,HR,73.8,8,5.2,73800
Aarav Bose,Sales,85.4,8,6.2,84900
Arjun Kapoor,IT,89.4,9,4.1,83000
Aditi Rao,HR,87.5,13,5.4,73900
Vikram Nair,Sales,93.2,5,5.5,66400
Abhishek Sharma,Sales,83.4,8,5.3,68300
Sneha Joshi,Sales,84.1,6,5.4,63100
Akash Verma,IT,87.5,8,5.5,86800
Priya Kulkarni,Marketing,91.8,13,6.5,74100
Mansi Mehta,Operations,100,8,4,77800
Anjali Joshi,IT,82,4,4.1,75900
Aditi Bose,Sales,91,3,4.4,67100
Nikhil Rao,Finance,88.8,11,5.5,82100
Harsh Gupta,Sales,84.3,3,4.1,46400
Vikram Bhat,IT,87.6,5,5.8,89300
Nikhil Chopra,HR,88,3,3.9,62800
Yash Kapoor,Finance,87.2,11,6.1,86900
Abhishek Joshi,IT,97.4,8,5.5,76800
Neha Mehta,Operations,83.9,7,4.5,65500
Mansi Pillai,IT,89.2,8,6.3,85300
Tanya Bose,Sales,90.3,4,4.5,55500
Akash Rao,IT,90.5,6,5.7,74100
Shreya Patel,Marketing,84.5,9,5.2,78100
Kabir Malhotra,HR,80.3,4,5.5,64000
Shreya Pillai,Operations,80,5,4.8,64700
Dev Desai,Marketing,74.1,4,3.6,75800
Mansi Kulkarni,IT,94.3,7,5.7,78800
Maya Chopra,HR,81.2,5,4.5,54800
Diya Rao,IT,90.4,4,4.6,83100
Yash Nair,Marketing,91,5,4.7,76500
Sanya Bhat,IT,83.1,6,4.3,98300
Nikhil Reddy,Marketing,92.8,7,4.6,62000
Tanya Bhat,IT,93.7,10,4.8,92600
Nikhil Sharma,IT,98.7,7,6,92000
Nikhil Kulkarni,Marketing,88.6,8,4.5,70700
Rohan Joshi,Sales,95.7,2,4.5,63600
Varun Pillai,Sales,87.1,11,5.9,69100
Arjun Sharma,Sales,88.6,5,3.4,71200
Aditya Sharma,Operations,80.6,8,5.5,60000
Diya Iyer,HR,88.6,4,3.6,59500
Sanya Bose,HR,91.7,8,5.5,74700
Rohan Sharma,IT,77.5,8,5,80600
Manav Verma,IT,83.1,8,5.8,89300
Abhishek Gupta,Operations,78.5,8,4.8,62200
Naina Kulkarni,Marketing,93,7,5.6,87000
Ananya Joshi,Sales,85.1,6,4.7,59100
Abhishek Kulkarni,IT,96.3,4,5.1,72400
Akash Joshi,Sales,78.8,6,5.7,84100
Aditi Pillai,HR,82.8,6,4.8,68400
Dev Rao,Sales,87,6,4.5,74200
Riya Bose,Sales,92.9,5,5.1,69800
Neha Singh,Sales,88.9,7,3.7,68600
Maya Kulkarni,Marketing,74.1,7,4,74200
Aman Kapoor,Finance,88.9,12,6.6,84900
Manav Joshi,HR,77.5,8,6.2,57200
Sahil Bose,Marketing,87.7,7,6,79100
Isha Kulkarni,Marketing,86.6,5,5.8,79100
Aarav Kapoor,Finance,93.8,7,5.9,78700
Ananya Desai,Marketing,91.2,6,5.4,72300
Anjali Singh,IT,86,2,4,69300
Manav Kapoor,Finance,95.6,5,4.6,71100
Isha Bhat,Sales,75,7,3.9,72700
Sneha Reddy,IT,93.8,4,5.9,89800
Kabir Singh,Operations,91.5,8,5.3,67900
Abhishek Patel,IT,85.2,8,5.3,80900
Pooja Nair,Finance,88.3,7,5.8,77700
Neha Verma,Marketing,82.4,5,5.1,76900
Yash Sharma,Finance,91.3,8,6.1,89100
Dev Gupta,Marketing,74.8,8,3.6,74900
Aditya Mehta,IT,91.8,6,4.4,83200
Maya Malhotra,HR,81.6,7,5.7,67900
Karan Bhat,IT,87.3,5,5.3,83500
Harsh Desai,Operations,81.7,12,5.3,71400
Karan Chopra,Operations,93.8,7,5,76700
Maya Mehta,Operations,93.5,6,4.1,70900
Nikhil Bose,IT,81.9,3,2.7,79400
Sanya Reddy,HR,80.1,9,5.3,74100
Aryan Desai,IT,89.2,10,5.2,87400
Maya Nair,Finance,89.5,2,4.8,69500
Raj Kulkarni,IT,83.3,5,4.9,75400
Shreya Singh,HR,95.7,11,5.7,77800
Tanya Reddy,HR,81.2,6,4.1,56800
Aarav Chopra,Sales,100,4,5.8,68100
Sanya Chopra,Operations,98.6,8,4.9,69700
Aditya Nair,Operations,82.9,8,6.1,73300
Aditya Patel,IT,95.3,8,5,85100
Manav Rao,Operations,99.9,11,6.5,73800
Rohan Shah,Sales,88.5,3,4,62500
Aman Kulkarni,HR,92,11,6.1,72500
Tanvi Malhotra,IT,86.4,5,5,75300
Dev Sharma,HR,83.8,8,5.1,76600
Meera Iyer,IT,97.1,6,5.8,91700
Riya Pillai,HR,92.5,5,5,69300
Aditi Iyer,Operations,78.9,7,5,63900
Naina Desai,Finance,78,11,5.3,77900
Manav Sharma,Operations,80,5,4.9,74400
Diya Kapoor,HR,82,11,4,67800
Manav Pillai,IT,85.9,10,5,73000
Naina Nair,Operations,85.2,8,4.6,69200
Riya Joshi,IT,93.6,4,4.8,72700
Manav Chopra,Marketing,84.5,8,4.6,70700
Varun Singh,Operations,77.9,2,4.8,67800
Harsh Reddy,HR,89.1,5,3.7,54900
Neha Kapoor,HR,78.2,5,3.3,66000
Rohan Chopra,Operations,91.2,4,4.9,69100
Dev Verma,IT,93.8,8,6.5,97500
Mansi Joshi,IT,83.6,7,3.8,72600
Priya Chopra,Finance,96.1,7,5.5,77700
Dev Chopra,Finance,85.6,2,4.2,75800
Isha Mehta,Sales,88.7,8,5.2,68200
Ananya Mehta,Operations,77.5,4,3.6,62700
Vikram Mehta,Sales,86.4,10,4.8,71100
Anjali Kapoor,Finance,84.7,7,4.7,89200
Abhishek Reddy,IT,86.6,9,5.7,85400
Rohan Reddy,Sales,84.9,10,5.9,79100
Yash Desai,Marketing,88,5,4.2,72600
Anjali Chopra,IT,88,4,4.4,79500
Vikram Desai,Sales,91.3,3,5,74900
Kavya Mehta,Operations,94.1,6,5.4,66400
Rohan Bose,IT,79.5,8,4.2,90900
Ananya Verma,Operations,91.4,8,5.2,72900
Raj Mehta,Sales,90.2,11,6.5,82500
Vikram Verma,HR,72,3,4.2,59700
Rohan Desai,Operations,100,10,6.6,85100
Aman Nair,HR,89.5,9,6.4,65900
Ananya Bose,Finance,93.3,5,4.5,82100
Shreya Bose,Sales,93.9,6,4.9,73300
Shreya Desai,Sales,86.4,11,5.8,83400
Yash Shah,IT,93,15,7.8,95800
Tanvi Patel,Sales,92.3,14,6.6,68500
Neha Chopra,Operations,79,4,4.4,59200
Kabir Pillai,Operations,85.9,6,5,75100
Sahil Kulkarni,IT,77.4,5,4.9,76500
Kavya Patel,Operations,95.8,9,5.9,72700
Mansi Sharma,IT,92.8,9,5.4,88800
Sneha Kapoor,HR,89.7,9,4.8,64300
Meera Kulkarni,Marketing,91.1,8,5.7,77400
Simran Kapoor,IT,87.1,4,4.6,82500
Raj Verma,Finance,86.7,6,5.4,73000
Maya Joshi,Operations,79.6,9,5.6,68400
Raj Rao,Finance,76.9,4,2.9,71200
Varun Gupta,Sales,83.9,6,5.8,70700
Shreya Mehta,IT,88.1,9,5.2,91300
Tanya Kapoor,HR,90.7,11,6.3,72500
Nikhil Gupta,HR,94.4,7,6.3,69400
Raj Sharma,HR,82.4,3,4.4,64800
Sneha Malhotra,Sales,88.6,8,5.6,77500
Aditi Nair,HR,97.7,6,3.9,65500
Aryan Gupta,IT,94.4,10,6.4,93700
Ananya Nair,Sales,92.9,7,5.2,78900
Neha Gupta,Operations,97.9,5,6,63500
Aman Malhotra,Sales,81.5,10,4.5,71400
Karan Verma,Marketing,81.7,5,3.5,68600
Akash Pillai,Finance,99.3,10,5.4,89000
Anjali Rao,Sales,86.8,3,3.1,63500
Varun Patel,Marketing,80.6,9,5.2,77200
Sanya Sharma,Operations,82.7,3,4,70800
Priya Bhat,IT,89.7,8,4.6,78800
Kabir Kulkarni,Sales,85.9,7,4.8,65500
Abhishek Chopra,IT,80.1,4,3.7,82000
Aarav Kulkarni,HR,78.9,5,3.3,68900
Tanvi Verma,Finance,84.9,7,4.2,81900
Naina Gupta,Sales,94.9,9,6.7,75500
Maya Singh,Sales,88.8,7,4.3,67500
Anjali Bhat,Sales,91.1,4,5.6,86900
Ananya Kapoor,IT,89.3,9,6.2,90100
Meera Kapoor,Sales,89,10,5.7,66400
Naina Malhotra,Operations,94.5,9,5.8,68000
Naina Patel,IT,91.4,8,5.3,79000
Rohan Iyer,IT,91.5,6,4.8,88200
Rahul Mehta,Operations,91.2,5,5.2,72600
Aarav Pillai,Finance,78.2,8,4.1,76200
Karan Bose,Operations,92.3,5,3.9,73800
Riya Gupta,Sales,89.1,9,5,66800
Pooja Iyer,Operations,84,4,3.9,59500
Simran Bhat,Sales,86.6,6,4.3,68000
Neha Sharma,IT,85.3,8,4.5,83800
Isha Pillai,Marketing,85.5,6,4.3,62100
Neha Bose,Marketing,76.4,11,5,74400
Arjun Bhat,Operations,94.2,3,5.3,70600
Aman Gupta,Operations,89.1,8,5.4,75300
Aarav Bhat,HR,84.7,3,3.6,65900
Pooja Bose,Finance,92.9,9,5.7,90700
Vikram Sharma,HR,87.8,2,3.3,60500
Kabir Joshi,Sales,81.4,6,4.6,69000
Manav Nair,IT,92,11,5.9,93400
Abhishek Mehta,Marketing,85.8,6,4.8,68500
Aditya Shah,Sales,87.1,9,4.6,78500
Tanya Patel,IT,91,2,4.8,86500
Karan Desai,Marketing,93.1,11,6.2,82300
Sneha Verma,Marketing,95.7,6,5.6,83700
Vikram Rao,Sales,94.4,6,5.2,67300
Naina Chopra,Operations,88.2,7,4.9,65700
Yash Kulkarni,Operations,89.9,5,5.2,69200
Aman Bose,Sales,89,7,4.5,77100
Kavya Joshi,Sales,91.6,9,4.7,68900
Shreya Verma,IT,87.2,6,4.8,92100
Aditya Bhat,Finance,75.5,5,4.2,78100
Dev Iyer,IT,86.6,6,4.6,84700
Manav Reddy,Marketing,83.2,4,5,73300
Karan Pillai,IT,83.2,8,5,78800
Isha Reddy,HR,100,6,4.5,72600
